kp,kd,satdip,cost,per_sun_err,median_val,max_val,per_ecl_err
23516813.385771863,2382665049.36367,0.2588042291105995,6.290674685846158,0.36608735875239545,42.28633077363797,166.39108766472984,0.15220916092419942
244910246.34012082,312071987.7010641,0.12147069511488297,7.7863904317139365,0.02233529372893676,90.57342792177974,179.57310871278023,0.12170652614511553
1549310.3643906703,1685978.0231705853,0.08907032542823283,7.426312268492005,0.11484834467719553,79.0274770053085,179.28713172093333,0.09718281313336036
8140675.984583294,1772861933.751496,0.14919337998876667,7.708772456112402,0.032842133086631864,63.30570466347143,170.89343425862276,0.05401297122010539
3725110.709391406,2209607086.8729615,0.10784488652100784,7.405248733493185,0.036476574373884886,65.3457578472725,141.36980449175024,0.15960680989055534
39146008.69268913,29714344.857244976,0.2875749960963835,7.726707401023059,0.039318046653009975,87.25980888544794,178.76736130400235,0.09231860559383867
364252.9868570471,3022379768.2839217,0.14734633312937606,7.66277832884129,0.052930681292539486,90.64934571504712,176.8288457765627,0.08025942440210783
159824372.47411492,120756333.51351963,0.20687506373449852,7.704365732982988,0.04136654992400714,86.43183575791986,178.98765595455683,0.12413862991487637
76301068.35260414,212852702.35317302,0.16583823654021312,7.7168833888298405,0.03713738188065816,84.98955932466932,178.71012386712357,0.1284961491690312
108258622.63250636,2652347.5351677295,0.14734412161053068,7.813178220995686,0.014603845899689421,88.45664890014255,179.3788722402967,0.12687474665585732
8868439.098221624,10000000000.0,0.2508263856682799,7.7097461297386225,0.02293002048503271,87.90147640079184,170.85362506138443,0.13072557762464532
27339280.193685472,3575936686.4864535,0.26003668320145085,6.011868593252464,0.3911319632591026,26.771909155944787,162.20206896000465,0.4424402107823267
32435116.881122362,901618338.5954024,0.2614374860017704,4.157685054753543,0.7408312958435208,11.438955797743192,178.19610848482608,0.659505472233482
96433889.6793116,897345088.6321228,0.26279636773737297,4.4203385905493215,0.7992466794422785,15.128520240698654,160.92757071451058,0.34019051479529794
5100877.653808145,533480287.6049431,0.2615667042304168,5.347900701729689,0.5899689420471816,25.885022243653545,173.5386882493276,0.3610660721524118
575826574.4109775,908661020.2378709,0.25968273564313915,7.705366289918083,0.039053723650300666,88.57723002861624,179.60938296559974,0.15058775841102554
29876679.517225027,315210970.2551291,0.26290205041155446,3.242192655353698,0.8308332782660411,11.730686731302354,113.1770967708999,0.8079651398459667
123488.10974436249,3912252.3375888662,0.26451978653686287,5.121282234613718,0.641247604572788,27.174247901255427,169.18497338449092,0.3344142683421159
710611609.4916762,926787156.308944,0.26808223587175006,7.610666571707078,0.059670917861626906,90.06169980808995,179.7905882580005,0.17794892582083502
78741348.57070108,1927358.8705574549,0.02219053386158136,7.771229485762284,0.011431969867177691,83.97834688026403,175.32979428581592,0.17136197811106607
